,提出日時,問題,ユーザー,言語,得点,コード長,結果,実行時間,メモリ
ABC006,2023-04-29 09:13:55,B - トリボナッチ数列,lattekawaii,C++ (GCC 9.2.1),100,519 Byte,WA,35 ms,34292 KB
ABC006,2023-04-15 07:33:47,A - 世界のFizzBuzz,lattekawaii,C++ (GCC 9.2.1),100,330 Byte,AC,8 ms,3568 KB
ABC010,2023-04-20 10:57:32,C - 浮気調査,lattekawaii,C++ (GCC 9.2.1),100,996 Byte,WA,33ms,3692 KB
ABC011,2023-03-30 22:20:49,A - 来月は何月？,lattekawaii,C++ (GCC 9.2.1),100,318 Byte,AC,6 ms,3552 KB
ABC012,2023-03-31 23:28:56,A - スワップ,lattekawaii,C++ (GCC 9.2.1),100,261 Byte,AC,7 ms,3556 KB
ABC013,2023-04-19 07:52:05,B - 錠,lattekawaii,C++ (GCC 9.2.1),100,477 Byte,AC,7 ms,3596 KB
ABC014,2023-04-29 11:09:43,C - AtColor,lattekawaii,C++ (GCC 9.2.1),100,651 Byte,AC,79 ms,31488 KB
ABC022,2023-03-13 23:22:53,A - Best Body,lattekawaii,C++ (GCC 9.2.1),100,462 Byte,AC,4 ms,3640 KB
ABC039,2023-03-26 22:45:26,B - エージェント高橋君,lattekawaii,C++ (GCC 9.2.1),100,235 Byte,AC,6 ms,3632 KB
ABC041,2023-06-02 23:33:01,C - 背の順,lattekawaii,C++ (GCC 9.2.1),100,556 Byte,AC,186 ms,4268 KB
ABC042,2023-06-02 23:51:44,C - こだわり者いろはちゃん,lattekawaii,C++ (GCC 9.2.1),300,1036 Byte,AC,15 ms,3756 KB
ABC042,2023-06-02 23:19:23,B - 文字列大好きいろはちゃんイージー,lattekawaii,C++ (GCC 9.2.1),200,468 Byte,AC,4 ms,3572 KB
ABC043,2023-06-02 23:26:20,B - バイナリハックイージー,lattekawaii,C++ (GCC 9.2.1),200,548 Byte,AC,7 ms,3620 KB
ABC049,2023-05-03 21:37:05,B - たてなが,lattekawaii,C++ (GCC 9.2.1),200,509 Byte,AC,8 ms,3620 KB
ABC049,2023-04-30 22:44:38,C - 白昼夢,lattekawaii,C++ (GCC 9.2.1),300,995 Byte,AC,12 ms,3768 KB
ABC049,2023-04-30 22:43:37,C - 白昼夢,lattekawaii,C++ (GCC 9.2.1),0,967 Byte,WA,133ms,3720 KB
ABC049,2023-04-30 22:39:19,C - 白昼夢,lattekawaii,C++ (GCC 9.2.1),0,888 Byte,TLE,2205ms,3708 KB
ABC049,2023-02-24 23:14:06,B - たてなが,lattekawaii,C++ (GCC 9.2.1),200,496 Byte,AC,8 ms,3600 KB
ABC051,2023-02-23 16:57:17,B - Sum of Three Integers,lattekawaii,C++ (GCC 9.2.1),200,344 Byte,AC,12 ms,3528 KB
ABC055,2023-04-19 07:42:47,A - Restaurant,lattekawaii,C++ (GCC 9.2.1),100,336 Byte,AC,16 ms,3608 KB
ABC057,2023-04-08 18:28:52,C - Digits in Multiplication,lattekawaii,C++ (GCC 9.2.1),300,644 Byte,AC,7 ms,3568 KB
ABC057,2023-04-08 18:24:55,C - Digits in Multiplication,lattekawaii,C++ (GCC 9.2.1),0,643 Byte,WA,7 ms,3628 KB
ABC057,2023-04-08 18:23:04,C - Digits in Multiplication,lattekawaii,C++ (GCC 9.2.1),0,643 Byte,RE,113 ms,3272 KB
ABC065,2023-03-31 23:05:38,B - Trained?,lattekawaii,C++ (GCC 9.2.1),200,556 Byte,AC,32 ms,4012 KB
ABC069,2023-02-28 22:04:41,B - i18n,lattekawaii,C++ (GCC 9.2.1),200,179 Byte,AC,8 ms,3624 KB
ABC071,2023-04-14 22:23:00,B - Not Found,lattekawaii,C++ (GCC 9.2.1),200,655 Byte,AC,14 ms,3576 KB
ABC071,2023-04-14 22:11:29,B - Not Found,lattekawaii,C++ (GCC 9.2.1),0,581 Byte,WA,14 ms,3724 KB
ABC079,2023-04-12 12:35:44,C - Train Ticket,lattekawaii,C++ (GCC 9.2.1),300,1114 Byte,AC,7 ms,3616 KB
ABC083,2023-05-05 21:06:38,B - Some Sums,lattekawaii,C++ (GCC 9.2.1),200,761 Byte,AC,9 ms,3552 KB
ABC084,2023-03-12 18:02:12,D - 2017-like Number,lattekawaii,C++ (GCC 9.2.1),400,928 Byte,AC,204 ms,3948 KB
ABC085,2023-02-24 00:14:15,C - Otoshidama,lattekawaii,C++ (GCC 9.2.1),300,512 Byte,AC,8 ms,3600 KB
ABC085,2023-02-23 11:44:55,C - Otoshidama,lattekawaii,C++ (GCC 9.2.1),300,497 Byte,AC,777 ms,3612 KB
ABC095,2023-05-25 22:47:11,C - Half and Half,lattekawaii,C++ (GCC 9.2.1),300,628 Byte,AC,7 ms,3632 KB
ABC095,2023-04-08 20:53:43,C - Half and Half,lattekawaii,C++ (GCC 9.2.1),300,686 Byte,AC,18 ms,3544 KB
ABC100,2023-04-17 23:22:56,B - Ringo's Favorite Numbers,lattekawaii,C++ (GCC 9.2.1),200,543 Byte,AC,4 ms,3748 KB
ABC106,2023-05-25 22:14:06,B - 105,lattekawaii,C++ (GCC 9.2.1),200,831 Byte,AC,4 ms,3636 KB
ABC106,2023-05-18 22:18:29,B - 105,lattekawaii,C++ (GCC 9.2.1),200,825 Byte,AC,6 ms,3572 KB
ABC106,2023-04-08 17:57:30,B - 105,lattekawaii,C++ (GCC 9.2.1),200,725 Byte,AC,7 ms,3536 KB
ABC108,2023-04-29 09:49:07,B - Ruined Square,lattekawaii,C++ (GCC 9.2.1),200,643 Byte,AC,6 ms,3588 KB
ABC109,2023-05-31 22:17:48,B - Shiritori,lattekawaii,C++ (GCC 9.2.1),200,778 Byte,AC,8 ms,3604 KB
ABC117,2023-04-26 13:08:58,C - Streamline,lattekawaii,C++ (GCC 9.2.1),300,642 Byte,AC,41 ms,6412 KB
ABC120,2023-04-20 23:00:08,C - Unification,lattekawaii,C++ (GCC 9.2.1),300,854 Byte,AC,1401 ms,3724 KB
ABC120,2023-04-08 18:09:03,B - K-th Common Divisor,lattekawaii,C++ (GCC 9.2.1),200,614 Byte,AC,5 ms,3580 KB
ABC121,2023-02-19 11:42:59,B - Can you solve this?,lattekawaii,C++ (GCC 9.2.1),200,617 Byte,AC,6 ms,3568 KB
ABC122,2023-05-25 22:26:55,B - ATCoder,lattekawaii,C++ (GCC 9.2.1),200,889 Byte,AC,4 ms,3636 KB
ABC123,2023-02-26 18:09:01,B - Five Dishes,lattekawaii,C++ (GCC 9.2.1),200,1102 Byte,AC,6 ms,3560 KB
ABC123,2023-02-26 18:08:19,B - Five Dishes,lattekawaii,C++ (GCC 9.2.1),0,1100 Byte,WA,7 ms,3576 KB
ABC126,2023-04-21 23:45:40,C - Dice and Coin,lattekawaii,C++ (GCC 9.2.1),300,703 Byte,AC,8 ms,4148 KB
ABC126,2023-04-21 22:58:20,B - YYMM or MMYY,lattekawaii,C++ (GCC 9.2.1),200,750 Byte,AC,7 ms,3596 KB
ABC126,2023-04-21 22:45:59,A - Changing a Character,lattekawaii,C++ (GCC 9.2.1),100,382 Byte,AC,6 ms,3584 KB
ABC128,2023-04-29 10:39:53,C - Switches,lattekawaii,C++ (GCC 9.2.1),300,1537 Byte,AC,8 ms,3656 KB
ABC128,2023-04-29 10:30:20,C - Switches,lattekawaii,C++ (GCC 9.2.1),0,1401 Byte,WA,6 ms,3604 KB
ABC128,2023-04-12 18:39:43,C - Switches,lattekawaii,C++ (GCC 9.2.1),300,1757 Byte,AC,6 ms,3612 KB
ABC128,2023-02-26 20:28:11,B - Guidebook,lattekawaii,C++ (GCC 9.2.1),200,792 Byte,AC,6 ms,3556 KB
ABC128,2023-02-26 16:25:37,C - Switches,lattekawaii,C++ (GCC 9.2.1),0,2323 Byte,WA,8 ms,3596 KB
ABC129,2023-04-15 21:47:21,C - Typical Stairs,lattekawaii,C++ (GCC 9.2.1),0,1080 Byte,WA,35 ms,12520 KB
ABC130,2023-04-16 21:37:29,B - Bounding,lattekawaii,C++ (GCC 9.2.1),200,676 Byte,AC,8 ms,3532 KB
ABC130,2023-04-16 21:26:25,B - Bounding,lattekawaii,C++ (GCC 9.2.1),0,650 Byte,WA,6 ms,3636 KB
ABC130,2023-04-16 20:27:42,B - Bounding,lattekawaii,C++ (GCC 9.2.1),0,597 Byte,WA,6 ms,3632 KB
ABC130,2023-04-16 20:26:45,B - Bounding,lattekawaii,C++ (GCC 9.2.1),0,639 Byte,WA,14 ms,3568 KB
ABC133,2023-04-27 22:59:54,A - T or T,lattekawaii,C++ (GCC 9.2.1),100,344 Byte,AC,8 ms,3576 KB
ABC133,2023-04-16 20:03:42,A - T or T,lattekawaii,C++ (GCC 9.2.1),100,357 Byte,AC,7 ms,3564 KB
ABC134,2023-04-29 09:07:37,B - Golden Apple,lattekawaii,C++ (GCC 9.2.1),200,392 Byte,AC,8 ms,3628 KB
ABC134,2023-04-27 23:08:31,A - Dodecagon,lattekawaii,C++ (GCC 9.2.1),100,336 Byte,AC,8 ms,3544 KB
ABC135,2023-04-05 22:46:06,C - City Savers,lattekawaii,C++ (GCC 9.2.1),0,623 Byte,WA,68 ms,4348 KB
ABC137,2023-05-09 14:37:02,C - Green Bin,lattekawaii,C++ (GCC 9.2.1),300,726 Byte,AC,71 ms,8584 KB
ABC137,2023-05-09 14:35:49,C - Green Bin,lattekawaii,C++ (GCC 9.2.1),0,726 Byte,WA,69 ms,8576 KB
ABC137,2023-05-09 14:32:49,C - Green Bin,lattekawaii,C++ (GCC 9.2.1),0,710 Byte,WA,68 ms,8588 KB
ABC137,2023-05-09 14:23:05,B - One Clue,lattekawaii,C++ (GCC 9.2.1),200,500 Byte,AC,8 ms,3596 KB
ABC137,2023-05-09 14:19:15,A - +-x,lattekawaii,C++ (GCC 9.2.1),100,344 Byte,AC,13 ms,3616 KB
ABC139,2023-05-18 22:54:51,C - Lower,lattekawaii,C++ (GCC 9.2.1),300,708 Byte,AC,40 ms,5804 KB
ABC139,2023-05-18 22:42:49,B - Power Socket,lattekawaii,C++ (GCC 9.2.1),200,567 Byte,AC,8 ms,3568 KB
ABC139,2023-05-18 22:42:16,B - Power Socket,lattekawaii,C++ (GCC 9.2.1),0,567 Byte,WA,5 ms,3640 KB
ABC139,2023-05-18 22:41:13,B - Power Socket,lattekawaii,C++ (GCC 9.2.1),0,525 Byte,WA,7 ms,3620 KB
ABC139,2023-05-18 22:34:49,A - Tenki,lattekawaii,C++ (GCC 9.2.1),100,454 Byte,AC,8 ms,3560 KB
ABC139,2023-02-18 14:51:29,B - Power Socket,lattekawaii,C++ (GCC 9.2.1),200,498 Byte,AC,7 ms,3656 KB
ABC139,2023-02-18 14:47:41,B - Power Socket,lattekawaii,C++ (GCC 9.2.1),0,446 Byte,WA,6 ms,3580 KB
ABC142,2023-05-15 23:13:11,C - Go to School,lattekawaii,C++ (GCC 9.2.1),300,504 Byte,AC,48 ms,6368 KB
ABC142,2023-05-15 23:04:56,B - Roller Coaster,lattekawaii,C++ (GCC 9.2.1),200,472 Byte,AC,27 ms,5904 KB
ABC142,2023-05-15 23:02:27,A - Odds of Oddness,lattekawaii,C++ (GCC 9.2.1),100,480 Byte,AC,8 ms,3784 KB
ABC143,2023-02-27 23:10:33,C - Slimes,lattekawaii,C++ (GCC 9.2.1),300,272 Byte,AC,15 ms,3748 KB
ABC144,2023-02-08 21:03:17,A - 9x9,lattekawaii,C++ (GCC 9.2.1),100,217 Byte,AC,5 ms,3596 KB
ABC144,2023-02-08 21:00:25,B - 81,lattekawaii,C++ (GCC 9.2.1),200,405 Byte,AC,9 ms,3584 KB
ABC148,2023-04-24 07:54:40,B - Strings with the Same Length,lattekawaii,C++ (GCC 9.2.1),200,410 Byte,AC,2 ms,3588 KB
ABC149,2023-05-22 23:23:23,A - Strings,lattekawaii,C++ (GCC 9.2.1),100,336 Byte,AC,7 ms,3500 KB
ABC149,2023-03-13 23:14:34,C - Next Prime,lattekawaii,C++ (GCC 9.2.1),300,820 Byte,AC,7 ms,3640 KB
ABC150,2023-02-16 22:21:30,B - Count ABC,lattekawaii,C++ (GCC 9.2.1),200,316 Byte,AC,6 ms,3616 KB
ABC151,2023-04-29 09:01:15,A - Next Alphabet,lattekawaii,C++ (GCC 9.2.1),100,361 Byte,AC,8 ms,3628 KB
ABC155,2023-02-07 11:03:47,"B - Papers, Please",lattekawaii,C++ (GCC 9.2.1),200,418 Byte,AC,5 ms,3540 KB
ABC156,2023-02-18 15:29:19,C - Rally,lattekawaii,C++ (GCC 9.2.1),300,1269 Byte,AC,7 ms,3616 KB
ABC156,2023-02-18 15:28:32,C - Rally,lattekawaii,C++ (GCC 9.2.1),0,1267 Byte,WA,9 ms,3604 KB
ABC157,2023-06-01 11:04:20,C - Guess The Number,lattekawaii,C++ (GCC 9.2.1),300,886 Byte,AC,8 ms,3876 KB
ABC157,2023-06-01 10:43:43,C - Guess The Number,lattekawaii,C++ (GCC 9.2.1),0,845 Byte,WA,7 ms,3884 KB
ABC157,2023-04-18 14:45:11,B - Bingo,lattekawaii,C++ (GCC 9.2.1),200,1214 Byte,AC,7 ms,3636 KB
ABC158,2023-04-10 22:39:49,C - Tax Increase,lattekawaii,C++ (GCC 9.2.1),300,613 Byte,AC,6 ms,3592 KB
ABC164,2023-03-13 23:10:15,C - gacha,lattekawaii,C++ (GCC 9.2.1),300,380 Byte,AC,197 ms,19188 KB
ABC168,2023-04-28 23:12:49,B - ... (Triple Dots),lattekawaii,C++ (GCC 9.2.1),200,431 Byte,AC,8 ms,3592 KB
ABC168,2023-04-28 23:10:12,A - ∴ (Therefore),lattekawaii,C++ (GCC 9.2.1),100,496 Byte,AC,8 ms,3580 KB
ABC175,2023-02-23 17:41:01,B - Making Triangle,lattekawaii,C++ (GCC 9.2.1),200,784 Byte,AC,8 ms,3612 KB
ABC176,2023-04-30 15:04:23,C - Step,lattekawaii,C++ (GCC 9.2.1),300,572 Byte,AC,69 ms,8740 KB
ABC176,2023-04-30 15:03:25,C - Step,lattekawaii,C++ (GCC 9.2.1),0,575 Byte,WA,70 ms,8744 KB
ABC176,2023-03-08 23:29:13,B - Multiple of 9,lattekawaii,C++ (GCC 9.2.1),200,467 Byte,AC,10 ms,3676 KB
ABC176,2023-03-08 23:17:49,B - Multiple of 9,lattekawaii,C++ (GCC 9.2.1),0,305 Byte,WA,13 ms,3564 KB
ABC176,2023-02-24 00:13:55,C - Step,lattekawaii,C++ (GCC 9.2.1),0,512 Byte,WA,2205 ms,3560 KB
ABC177,2023-04-15 07:48:45,B - Substring,lattekawaii,C++ (GCC 9.2.1),200,701 Byte,AC,4 ms,3624 KB
ABC177,2023-04-15 07:46:54,B - Substring,lattekawaii,C++ (GCC 9.2.1),0,698 Byte,WA,6 ms,3536 KB
ABC177,2023-04-15 07:46:06,B - Substring,lattekawaii,C++ (GCC 9.2.1),0,677 Byte,WA,6 ms,3600 KB
ABC180,2023-05-19 23:00:06,C - Cream puff,lattekawaii,C++ (GCC 9.2.1),300,818 Byte,AC,30 ms,3696 KB
ABC180,2023-03-28 23:15:54,B - Various distances,lattekawaii,C++ (GCC 9.2.1),200,506 Byte,AC,33 ms,4544 KB
ABC185,2023-04-17 23:06:46,C - Duodecim Ferra,lattekawaii,C++ (GCC 9.2.1),300,591 Byte,AC,6 ms,3576 KB
ABC188,2023-04-16 20:57:19,C - ABC Tournament,lattekawaii,C++ (GCC 9.2.1),300,1010 Byte,AC,44 ms,27896 KB
ABC190,2023-02-26 16:39:33,C - Bowls and Dishes,lattekawaii,C++ (GCC 9.2.1),300,2323 Byte,AC,212 ms,3588 KB
ABC190,2023-02-26 16:37:38,C - Bowls and Dishes,lattekawaii,C++ (GCC 9.2.1),0,2329 Byte,TLE,2205 ms,3584 KB
ABC190,2023-02-26 16:27:54,C - Bowls and Dishes,lattekawaii,C++ (GCC 9.2.1),0,2323 Byte,WA,869 ms,3628 KB
ABC195,2023-04-18 23:09:56,C - Comma,lattekawaii,C++ (GCC 9.2.1),300,452 Byte,AC,8 ms,4012 KB
ABC195,2023-04-18 23:08:35,C - Comma,lattekawaii,C++ (GCC 9.2.1),0,451 Byte,WA,10 ms,4012 KB
ABC199,2023-04-21 12:41:35,C - IPFL,lattekawaii,C++ (GCC 9.2.1),0,997 Byte,TLE,2206 ms,11536 KB
ABC199,2023-04-21 12:32:56,C - IPFL,lattekawaii,C++ (GCC 9.2.1),0,873 Byte,TLE,2206 ms,11584 KB
ABC199,2023-04-21 12:27:13,C - IPFL,lattekawaii,C++ (GCC 9.2.1),0,767 Byte,TLE,2206 ms,11548 KB
ABC200,2023-04-16 23:40:04,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),300,861 Byte,AC,84 ms,8716 KB
ABC200,2023-04-16 23:38:08,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,862 Byte,WA,72 ms,8720 KB
ABC200,2023-04-16 23:37:36,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,863 Byte,WA,72 ms,8692 KB
ABC200,2023-04-16 23:36:47,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,859 Byte,WA,69 ms,8804 KB
ABC200,2023-04-16 23:35:15,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,785 Byte,WA,71 ms,10036 KB
ABC200,2023-04-16 23:33:57,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,783 Byte,WA,70 ms,9948 KB
ABC200,2023-04-16 22:51:49,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,781 Byte,WA,69 ms,10004 KB
ABC200,2023-04-16 22:49:26,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,777 Byte,WA,75 ms,10092 KB
ABC200,2023-04-16 21:51:58,C - Ringo's Favorite Numbers 2,lattekawaii,C++ (GCC 9.2.1),0,665 Byte,TLE,2206 ms,8828 KB
ABC202,2023-05-24 22:38:28,B - 180°,lattekawaii,C++ (GCC 9.2.1),200,575 Byte,AC,9 ms,3748 KB
ABC202,2023-05-24 22:29:02,A - Three Dice,lattekawaii,C++ (GCC 9.2.1),100,349 Byte,AC,8 ms,3608 KB
ABC204,2023-04-25 15:01:27,B - Nuts,lattekawaii,C++ (GCC 9.2.1),200,455 Byte,AC,8 ms,3612 KB
ABC204,2023-04-25 15:01:12,A - Rock-paper-scissors,lattekawaii,C++ (GCC 9.2.1),100,734 Byte,AC,6 ms,3552 KB
ABC209,2023-05-17 23:27:34,B - Can you buy them all?,lattekawaii,C++ (GCC 9.2.1),200,550 Byte,AC,9 ms,3600 KB
ABC209,2023-05-17 23:24:00,A - Counting,lattekawaii,C++ (GCC 9.2.1),100,384 Byte,AC,7 ms,3556 KB
ABC211,2023-04-16 20:02:25,A - Blood Pressure,lattekawaii,C++ (GCC 9.2.1),100,392 Byte,AC,6 ms,3752 KB
ABC213,2023-05-01 23:09:30,B - Booby Prize,lattekawaii,C++ (GCC 9.2.1),200,489 Byte,AC,81 ms,9588 KB
ABC213,2023-05-01 23:08:52,B - Booby Prize,lattekawaii,C++ (GCC 9.2.1),0,463 Byte,RE,145 ms,6532 KB
ABC213,2023-05-01 22:51:37,A - Bitwise Exclusive Or,lattekawaii,C++ (GCC 9.2.1),100,440 Byte,AC,8 ms,3640 KB
ABC214,2023-02-20 21:03:26,A - New Generation ABC,lattekawaii,C++ (GCC 9.2.1),100,280 Byte,AC,7 ms,3612 KB
ABC216,2023-05-06 22:58:52,B - Same Name,lattekawaii,C++ (GCC 9.2.1),200,669 Byte,AC,12 ms,3672 KB
ABC219,2023-04-23 22:43:29,A - AtCoder Quiz 2,lattekawaii,C++ (GCC 9.2.1),100,502 Byte,AC,3 ms,3576 KB
ABC220,2023-03-04 13:01:23,C - Long Sequence,lattekawaii,C++ (GCC 9.2.1),0,825 Byte,WA,41 ms,4328 KB
ABC220,2023-03-04 12:27:32,C - Long Sequence,lattekawaii,C++ (GCC 9.2.1),0,708 Byte,WA,42 ms,4328 KB
ABC220,2023-02-25 22:27:18,C - Long Sequence,lattekawaii,C++ (GCC 9.2.1),0,669 Byte,WA,41 ms,3976 KB
ABC220,2023-02-25 22:19:47,C - Long Sequence,lattekawaii,C++ (GCC 9.2.1),0,410 Byte,WA,2205 ms,3860 KB
ABC220,2023-02-24 23:05:51,A - Find Multiple,lattekawaii,C++ (GCC 9.2.1),100,281 Byte,AC,8 ms,3560 KB
ABC222,2023-05-26 21:27:38,B - Failing Grade,lattekawaii,C++ (GCC 9.2.1),0,465 Byte,RE,111 ms,3492 KB
ABC222,2023-05-26 21:26:13,A - Four Digits,lattekawaii,C++ (GCC 9.2.1),100,389 Byte,AC,8 ms,3628 KB
ABC225,2023-06-01 23:47:36,A - Distinct Strings,lattekawaii,C++ (GCC 9.2.1),100,581 Byte,AC,7 ms,3624 KB
ABC225,2023-04-02 22:50:43,C - Calendar Validator,lattekawaii,C++ (GCC 9.2.1),0,814 Byte,WA,28 ms,3836 KB
ABC225,2023-04-02 11:49:39,C - Calendar Validator,lattekawaii,C++ (GCC 9.2.1),0,692 Byte,WA,33 ms,3932 KB
ABC225,2023-04-02 11:46:53,C - Calendar Validator,lattekawaii,C++ (GCC 9.2.1),0,560 Byte,WA,32 ms,3852 KB
ABC226,2023-05-03 21:29:30,A - Round decimals,lattekawaii,C++ (GCC 9.2.1),100,329 Byte,AC,15 ms,3812 KB
ABC226,2023-05-03 21:23:21,A - Round decimals,lattekawaii,C++ (GCC 9.2.1),0,353 Byte,WA,4 ms,3676 KB
ABC228,2023-04-16 21:23:00,A - On and Off,lattekawaii,C++ (GCC 9.2.1),100,645 Byte,AC,7 ms,3588 KB
ABC228,2023-04-16 20:17:58,A - On and Off,lattekawaii,C++ (GCC 9.2.1),0,449 Byte,WA,8 ms,3604 KB
ABC236,2023-03-23 22:30:58,B - Who is missing?,lattekawaii,C++ (GCC 9.2.1),200,714 Byte,AC,112 ms,7412 KB
ABC236,2023-03-23 22:29:52,B - Who is missing?,lattekawaii,C++ (GCC 9.2.1),0,714 Byte,WA,109 ms,6620 KB
ABC236,2023-03-23 22:27:09,B - Who is missing?,lattekawaii,C++ (GCC 9.2.1),0,573 Byte,RE,122 ms,4764 KB
ABC236,2023-03-23 22:25:28,B - Who is missing?,lattekawaii,C++ (GCC 9.2.1),0,579 Byte,RE,120 ms,4080 KB
ABC236,2023-03-20 23:30:03,A - chukodai,lattekawaii,C++ (GCC 9.2.1),100,498 Byte,AC,5 ms,3552 KB
ABC236,2023-03-14 22:43:18,C - Route Map,lattekawaii,C++ (GCC 9.2.1),300,568 Byte,AC,280 ms,23804 KB
ABC238,2023-04-20 10:16:26,B - Pizza,lattekawaii,C++ (GCC 9.2.1),200,722 Byte,AC,7 ms,3648 KB
ABC238,2023-04-20 10:02:29,B - Pizza,lattekawaii,C++ (GCC 9.2.1),0,722 Byte,RE,115 ms,3616 KB
ABC247,2023-05-17 23:15:59,D - Cylinder,lattekawaii,C++ (GCC 9.2.1),400,960 Byte,AC,297 ms,11064 KB
ABC247,2023-05-08 15:36:25,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),300,763 Byte,AC,6 ms,3680 KB
ABC247,2023-05-08 15:35:46,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),300,432 Byte,AC,11 ms,3504 KB
ABC247,2023-05-08 15:35:08,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),0,441 Byte,CE,-100ms,-100KB
ABC247,2023-05-08 15:32:58,C - 1 2 1 3 1 2 1,lattekawaii,C++ (GCC 9.2.1),0,439 Byte,MLE,1872 ms,2350324 KB
